created_time,comment_count
2018-01-10,2038
2018-01-09,1228
2018-01-17,1199
2018-01-13,878
2018-01-06,846
2018-01-11,795
2018-01-12,619
2018-01-27,545
2018-01-14,491
2018-01-20,462
2018-01-15,347
2018-01-19,343
2018-01-16,342
2018-01-25,342
2018-01-07,291
2018-01-18,274
2018-01-24,264
2018-01-21,149
2018-01-08,147
2018-01-28,133
2018-01-05,129
2018-01-26,116
2018-01-22,88
2018-02-17,82
2018-01-29,78
2018-02-26,73
2018-02-14,67
2018-02-10,66
2018-02-13,66
2018-01-23,57
2018-02-21,55
2018-02-16,54
2018-02-09,53
2018-02-25,50
2018-01-30,48
2018-02-11,47
2018-02-06,47
2018-02-19,45
2018-02-08,43
2018-02-24,43
2018-02-23,40
2018-02-07,39
2018-02-18,38
2018-02-12,35
2018-02-22,31
2018-02-05,30
2018-02-01,28
2018-01-31,28
2018-02-20,27
2018-02-15,24
2018-02-04,17
2018-02-02,17
2018-02-03,10
2018-02-27,3
